ATP6	FBgn0013672	FBpp0390630	278
COX1	FBgn0013674	FBpp0100176	818
COX2	FBgn0013675	FBpp0100177	350
COX3	FBgn0013676	FBpp0100180	359
CYTB	FBgn0013678	FBpp0390634	578
LOC123744842	FBgn0052819	FBpp0070050	127
LOC123744842	FBgn0052820	FBpp0070053	127
LOC123744842	FBgn0040028	FBpp0070055	127
LOC123744842	FBgn0040028	FBpp0311835	127
LOC123744842	FBgn0052819	FBpp0070049	127
LOC123744842	FBgn0052820	FBpp0070052	127
LOC123744842	FBgn0040028	FBpp0070056	127
LOC123744846	FBgn0025814	FBpp0076936	114
LOC123744847	FBgn0030049	FBpp0111877	479
LOC123744847	FBgn0030049	FBpp0111876	479
LOC123744847	FBgn0030049	FBpp0071158	479
LOC123744847	FBgn0030049	FBpp0071159	479
LOC123744847	FBgn0030049	FBpp0304113	479
LOC123744847	FBgn0030049	FBpp0304112	479
LOC123744847	FBgn0030049	FBpp0304114	479
LOC123744851	FBgn0038516	FBpp0082895	237
LOC123744852	FBgn0039977	FBpp0289146	146
LOC123744853	FBgn0001149	FBpp0099824	219
LOC123744853	FBgn0001149	FBpp0082077	219
LOC123744854	FBgn0029937	FBpp0070975	69.3
LOC123744855	FBgn0034499	FBpp0085613	57.4
LOC123744855	FBgn0034157	FBpp0086175	57.4
LOC123744857	FBgn0046692	FBpp0300967	152
LOC123744857	FBgn0046692	FBpp0110403	152
LOC123744858	FBgn0022942	FBpp0070651	1065
LOC123744858	FBgn0022942	FBpp0070652	1065
LOC123744859	FBgn0037720	FBpp0306684	292
LOC123744859	FBgn0037720	FBpp0306683	292
LOC123744860	FBgn0037051	FBpp0077979	517
LOC123744860	FBgn0037051	FBpp0293954	517
LOC123744861	FBgn0035049	FBpp0292977	436
LOC123744862	FBgn0035049	FBpp0271771	617
LOC123744864	FBgn0028375	FBpp0080409	383
LOC123744866	FBgn0050105	FBpp0086057	102
LOC123744867	FBgn0035592	FBpp0076884	161
LOC123744872	FBgn0002775	FBpp0076635	170
LOC123744873	FBgn0027507	FBpp0085370	214
LOC123744873	FBgn0027507	FBpp0304298	214
LOC123744874	FBgn0263219	FBpp0289117	1025
LOC123744874	FBgn0263219	FBpp0289118	1025
LOC123744874	FBgn0263219	FBpp0289119	1025
LOC123744875	FBgn0263219	FBpp0289119	650
LOC123744877	FBgn0053815	FBpp0091061	130
LOC123744877	FBgn0053863	FBpp0091109	130
LOC123744877	FBgn0053803	FBpp0091051	130
LOC123744877	FBgn0053842	FBpp0091088	130
LOC123744877	FBgn0053839	FBpp0091085	130
LOC123744877	FBgn0051613	FBpp0085250	130
LOC123744877	FBgn0053806	FBpp0091053	130
LOC123744877	FBgn0053824	FBpp0091070	130
LOC123744877	FBgn0053818	FBpp0091064	130
LOC123744877	FBgn0053866	FBpp0091112	130
LOC123744877	FBgn0053836	FBpp0091082	130
LOC123744877	FBgn0053833	FBpp0091079	130
LOC123744877	FBgn0053812	FBpp0091058	130
LOC123744877	FBgn0053830	FBpp0091076	130
LOC123744877	FBgn0053860	FBpp0091106	130
LOC123744877	FBgn0053854	FBpp0091100	130
LOC123744877	FBgn0053857	FBpp0091103	130
LOC123744877	FBgn0053827	FBpp0091073	130
LOC123744877	FBgn0053821	FBpp0091067	130
LOC123744877	FBgn0053845	FBpp0091091	130
LOC123744877	FBgn0053809	FBpp0091056	130
LOC123744877	FBgn0053851	FBpp0091097	130
LOC123744877	FBgn0053848	FBpp0091094	130
LOC123744878	FBgn0039689	FBpp0084839	311
LOC123744880	FBgn0035625	FBpp0304192	87.8
LOC123744880	FBgn0035625	FBpp0304191	87.8
LOC123744880	FBgn0035625	FBpp0304193	87.8
LOC123744880	FBgn0035625	FBpp0311662	87.8
LOC123744880	FBgn0035625	FBpp0304194	87.8
LOC123744880	FBgn0035625	FBpp0076797	87.8
LOC123744881	FBgn0031529	FBpp0077282	200
LOC123744881	FBgn0031529	FBpp0304680	200
LOC123744882	FBgn0263005	FBpp0297743	314
LOC123744882	FBgn0263005	FBpp0311959	314
LOC123744884	FBgn0034396	FBpp0303454	830
LOC123744885	FBgn0260746	FBpp0081961	523
LOC123744888	FBgn0038938	FBpp0083599	193
LOC123744888	FBgn0038938	FBpp0290408	193
LOC123744888	FBgn0038938	FBpp0311125	193
LOC123744888	FBgn0038938	FBpp0302820	193
LOC123744893	FBgn0037592	FBpp0301749	242
LOC123744893	FBgn0037592	FBpp0081358	242
LOC123744893	FBgn0037592	FBpp0301748	242
LOC123744902	FBgn0034289	FBpp0088573	103
LOC123744904	FBgn0003310	FBpp0077658	52.4
LOC123744904	FBgn0003310	FBpp0077659	52.4
LOC123744911	FBgn0024963	FBpp0290592	223
LOC123744911	FBgn0024963	FBpp0290593	223
LOC123744911	FBgn0024963	FBpp0307400	223
LOC123744911	FBgn0024963	FBpp0307401	223
LOC123744911	FBgn0024963	FBpp0310355	223
LOC123744911	FBgn0024963	FBpp0307402	223
LOC123744911	FBgn0024963	FBpp0307404	223
LOC123744911	FBgn0024963	FBpp0307403	223
LOC123744911	FBgn0024963	FBpp0307399	223
LOC123744912	FBgn0005648	FBpp0087863	158
LOC123744912	FBgn0005648	FBpp0087864	158
LOC123744913	FBgn0005648	FBpp0087863	158
LOC123744913	FBgn0005648	FBpp0087864	158
LOC123744914	FBgn0005648	FBpp0087863	158
LOC123744914	FBgn0005648	FBpp0087864	158
LOC123744915	FBgn0005648	FBpp0087863	158
LOC123744915	FBgn0005648	FBpp0087864	158
LOC123744916	FBgn0005648	FBpp0087863	158
LOC123744916	FBgn0005648	FBpp0087864	158
LOC123744917	FBgn0005648	FBpp0087863	158
LOC123744917	FBgn0005648	FBpp0087864	158
LOC123744918	FBgn0005648	FBpp0087863	148
LOC123744918	FBgn0005648	FBpp0087864	148
LOC123744919	FBgn0005648	FBpp0087863	158
LOC123744919	FBgn0005648	FBpp0087864	158
LOC123744920	FBgn0005648	FBpp0087863	158
LOC123744920	FBgn0005648	FBpp0087864	158
LOC123744921	FBgn0005648	FBpp0087863	159
LOC123744921	FBgn0005648	FBpp0087864	159
LOC123744928	FBgn0264492	FBpp0070041	572
LOC123744928	FBgn0264492	FBpp0070043	572
LOC123744928	FBgn0264492	FBpp0311359	572
LOC123744928	FBgn0264492	FBpp0311229	572
LOC123744928	FBgn0264492	FBpp0311360	572
LOC123744928	FBgn0264492	FBpp0070042	572
LOC123744928	FBgn0264492	FBpp0110433	572
LOC123744929	FBgn0016075	FBpp0078672	49.3
LOC123744929	FBgn0016075	FBpp0305721	49.3
LOC123744929	FBgn0016075	FBpp0305720	49.3
LOC123744930	FBgn0002873	FBpp0304868	53.9
LOC123744934	FBgn0051954	FBpp0077252	188
LOC123744937	FBgn0003374	FBpp0312344	80.9
LOC123744938	FBgn0032638	FBpp0080557	47.4
LOC123744939	FBgn0083950	FBpp0290292	317
LOC123744940	FBgn0038629	FBpp0297099	99.0
LOC123744940	FBgn0038629	FBpp0112989	99.0
LOC123744940	FBgn0038629	FBpp0083059	99.0
LOC123744942	FBgn0039804	FBpp0085070	61.6
LOC123744942	FBgn0039804	FBpp0307397	61.6
LOC123744943	FBgn0032638	FBpp0080557	53.9
LOC123744945	FBgn0038242	FBpp0082416	60.5
LOC123744947	FBgn0030191	FBpp0303348	85.5
LOC123744947	FBgn0030191	FBpp0071405	85.5
LOC123744952	FBgn0050203	FBpp0271811	50.4
LOC123744957	FBgn0029807	FBpp0070798	61.6
LOC123744964	FBgn0003502	FBpp0111749	86.3
LOC123744964	FBgn0003502	FBpp0079237	86.3
LOC123744964	FBgn0003502	FBpp0079236	86.3
LOC123744965	FBgn0030541	FBpp0073710	78.2
LOC123744967	FBgn0003502	FBpp0303535	583
LOC123744967	FBgn0003502	FBpp0079235	583
LOC123744967	FBgn0003502	FBpp0079238	583
LOC123744967	FBgn0003502	FBpp0111748	583
LOC123744967	FBgn0003502	FBpp0111749	583
LOC123744967	FBgn0003502	FBpp0079237	583
LOC123744967	FBgn0003502	FBpp0079236	583
LOC123744969	FBgn0052602	FBpp0423273	52.0
LOC123744970	FBgn0053926	FBpp0091164	53.9
